gene	13-IC	13-N	16-M	16-N	1-IC	1-N	1-IF	20-IC	20-M	20-IF	22-IC	22-N	22-IF	23-N	26-M	26-IF	28-M	28-N	2-IC	44-IC	44-M	44-N	44-IF	47-IC	47-N	47-IF	54-IC	54-N	54-IF	56-IC	56-M	56-N	56-IF	58-IC	58-N	58-IF	59-IC	59-N	59-IF	61-IC	61-IF	63-IC	63-N	63-IF	64-IC	64-M-2	64-M	64-N	64-IF	65-IC	65-N	65-IF	69-M	69-N	69-IF	6-IC	6-N	6-IF
ENSG00000136816	3.368768	2.961623	3.089159	2.889474	2.799087	2.039138	3.122673	3.541019	3.153805	3.478972	2.684819	2.397803	3.538538	2.990955	3.182692	1.691534	2.929791	2.563158	3.047887	3.954196	2.931683	2.613532	3.890447	2.885574	2.15056	2.538538	3.007196	2.523562	2.508429	3.475085	3.207893	2.422233	3.361768	3.0054	2.702658	3.165108	3.768714	2.946731	3.596935	3.065228	3.037382	3.68594	2.845992	3.532317	3.367371	3.351911	2.906891	3.017922	3.053111	3.028569	2.759156	3.171527	3.121015	3.381283	3.177918	3.411426	2.536053	2.944858
ENSG00000091844	0.823749	0.678072	0.910733	1.201634	1.02148	0.669027	1.176323	1.201634	1.007196	1.232661	0.367371	0.378512	0.918386	0.910733	0.575312	0.739848	1.201634	0.713696	1.765535	1.815575	1.469886	0.695994	1.560715	1.063503	1.263034	0.400538	0.807355	0.85599	0.62293	1	1.570463	0.863938	1.111031	3.169925	0.505891	2.85599	1.157044	0.790772	0.978196	0.807355	0.739848	0.978196	0.956057	1.292782	0.422233	1.124328	0.956057	0.910733	0.584963	0.516015	1.056584	0.400538	0.475085	0.454176	0.722466	1.739848	0.933573	1.459432
ENSG00000176020	0	0	0	0.584963	0	0	0	0	0	0.389567	0	0	0.367371	0	0	0	0.201634	0.124328	0	0.356144	0.124328	0	0.432959	0	0	0.124328	0	0	0	0	0	0	0	0.124328	0.333424	0	0.400538	0	0.214125	0	0	0	0	0.014355	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173825	0.321928	0	0.189034	0.070389	0.15056	0	0	0	0	0	0.042644	0.15056	0.15056	0.056584	0.214125	0	0.137504	0.124328	0	0.070389	0	0	0.15056	0.070389	0	0.056584	0	0	0	0.163499	0	0.056584	0.056584	0.201634	0	0	0	0	0.163499	0.056584	0.097611	0.070389	0.070389	0.056584	0	0	0	0	0	0.163499	0	0	0.056584	0	0.070389	0.137504	0	0
ENSG00000254585	0.263034	0.056584	0.584963	0.056584	0.226509	0.137504	0.321928	0.189034	0.124328	0.238787	0.097611	0.028569	0.070389	0.275007	0.250962	0.084064	0.250962	0.084064	0.163499	0.250962	0.687061	0.056584	0.189034	0.124328	0	0	0.124328	0.028569	0.084064	0.454176	0.070389	0.298658	0.704872	0.042644	0.15056	0.028569	0.475085	0.070389	0.400538	0.298658	0.042644	0.15056	0.056584	0.189034	0.056584	0.613532	0.028569	0.056584	0.028569	0	0.15056	0.042644	0.084064	0	0.070389	0.214125	0	0.15056
ENSG00000187950	0.238787	0.070389	0	0.15056	0.042644	0.250962	0.042644	0.042644	0.124328	0.097611	0	0.056584	0.042644	0.536053	0.097611	0.275007	0	0.275007	0.333424	0.201634	0.226509	0.070389	0.722466	0.286881	0	0.367371	0	0.963474	0	0	0	0.189034	0.028569	0.028569	0.411426	0	0.042644	0.163499	0.042644	0.056584	0	0.275007	0.042644	0.028569	0.250962	0	0	0.042644	0	0.028569	0.070389	0	0	0.389567	0.042644	1.02148	0.536053	0.464668
ENSG00000244005	3.443607	3.003602	2.819668	3.144046	3.605257	2.629939	3.460743	3.163499	3.226509	3.247928	2.887525	2.729009	3.69488	2.981853	3.613532	2.684819	3.772941	3.053111	4.654779	3.936402	3.385431	3.198494	3.904966	2.742006	2.550901	2.857981	3.587365	2.702658	2.731183	3.962549	3.420887	3.087463	3.127633	3.405992	2.684819	3.598127	3.621759	3.557042	4.171527	3.41007	3.519793	4.538538	3.513491	4.771357	3.523562	3.297191	3.358959	3.493135	3.032101	3.135863	3.097611	3.195348	3.365972	2.570463	3.475085	3.772941	3.297191	3.819668
ENSG00000204228	2.097611	1.395063	0.790772	1.169925	1.090853	1.22033	1.41684	1.007196	1.232661	0.505891	1.214125	1.575312	1.169925	1.709291	1.970854	1.570463	1.464668	1.613532	1.207893	1.063503	0.163499	1.989139	0.963474	0.757023	1.485427	0.831877	1.189034	0.970854	0.941106	1.695994	1.594549	1.389567	0.555816	1.400538	0.903038	1.769772	2.432959	2.039138	2.367371	2.114367	1.550901	1.356144	1.786596	1.077243	1.361768	0.956057	1.422233	1.111031	1.350497	1.443607	2.15056	1.731183	1.929791	1.989139	2.195348	0.847997	1.87578	1.389567
ENSG00000187699	1.83996	2.443607	1.95977	3.117695	2.744161	2.891419	2.65764	1.464668	2.272023	1.584963	1.847997	2.056584	2.809414	2.873813	2.65306	3.072106	2.389567	2.263034	1.646163	2.107688	2.378512	2.823749	2.182692	1.843984	2.042644	1.709291	2.378512	2.957915	2.301588	1.752749	1.87578	2.693766	2.488001	1.438293	2.508429	1.687061	2.229588	2.548437	2.761285	2.247928	1.790772	1.757023	2.967169	1.773996	1.485427	2.260026	1.395063	3.060047	2.060047	2.344828	2.735522	2.06695	0.963474	1.475085	1.85599	2.454176	2.411426	2.451541
ENSG00000143621	6.210623	4.994127	5.51822	5.194166	5.738227	4.272023	5.953032	5.560715	5.210623	5.781884	4.858478	4.903038	5.346602	5.355087	5.923862	4.426936	5.610877	5.305606	5.854993	5.806324	5.378165	5.066089	5.513491	7.082468	5.509696	6.655066	5.50716	5.204376	4.930264	5.963243	5.712045	5.063934	5.60733	5.581653	4.913608	5.67779	5.823749	5.089583	5.832637	5.278728	5.694044	5.859721	5.191405	6.02879	5.771886	5.655352	5.307429	4.989593	5.662775	5.768978	5.059615	5.736334	5.047887	5.890933	5.643856	5.990728	5.135863	6.025029
